OBJECTID,LAD21CD,LAD21NM,LAD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Area,Shape__Length
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,a0067727-6c25-4d75-bbe3-839cf676a069,93771495.04,68370.93253
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,449ea171-0cf1-4f7e-bfd2-4a204eda5ff3,53858569.22,43639.8033
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,f5a51119-846e-4757-b327-73b4be205345,245142931.6,94929.15718
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.55691,6c7f0974-4974-4793-9d56-56e9fd814184,204902304.4,117933.7663
5,E06000005,Darlington, ,428029,515648,-1.56835,54.53534,9f91263d-693a-442d-b20d-91a0cd0631bb,197489020.5,105775.14
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,ac523544-4b91-4af7-bf07-5f4c892658dc,79078665.94,76325.77758
7,E06000007,Warrington, ,362744,388456,-2.56167,53.39163,b4f67bb5-570e-42bb-a7eb-94c66a886fb4,180622689.4,111938.3136
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,5d877b06-0923-4a1d-a7d8-dadd3e327236,137059783.6,63764.64858
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,07d5d813-53be-4270-b9eb-93698f47a743,34867951.98,33975.1043
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.7692,5e181cf8-ee7b-4010-84a3-063e4a8ed957,71610864.35,64230.59525
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.88112,e318d433-6df3-4225-ab30-648e2e124e50,2404955061,496024.6759
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,14f794c5-90de-41c9-b924-befd75704a1c,192712894.2,90908.1598
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,2bcca85f-8fa4-4ae0-b67b-bbe6bd04783e,846530987.1,240853.558
14,E06000014,York, ,460864,452589,-1.07375,53.96582,5c436d6b-8c40-49cd-87ef-399dfd59c450,271935449.5,100433.202
15,E06000015,Derby, ,435609,335375,-1.47189,52.91464,3683f0df-e7b5-465f-afec-08640d96ac2d,78022266.12,49198.6586
16,E06000016,Leicester, ,458946,304594,-1.1304,52.63592,86ed78aa-b7d9-493a-b811-c729fc32e973,73376544.34,50729.58329
17,E06000017,Rutland, ,492992,308655,-0.6263,52.66765,2100f18a-1ba8-4f2e-b46c-72465f576928,393739393.1,120309.0568
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.95419,faa9317c-df60-4821-9f55-a3267cc45d71,74600645.99,58004.6236
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.08154,41d12713-6d7a-425b-960d-7e0863c01ad8,2179666998,338938.7421
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71417,e01eaff0-7a57-453e-a6ce-6cac7d8e5c50,290327444.8,115372.123
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707,19d2c82f-9320-4569-ab33-f3bdddb2bbbd,93409442.35,62209.63635
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.35604,2c9be825-0058-43b4-8ed7-86ef2e39db29,351161960.4,137367.0415
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47115,b27c8ee8-5d59-432a-a86a-77cc4fa1cd70,109684921.8,108328.565
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.39706,043d40ec-b667-4673-8f30-536ab3f7373c,374650210.1,148559.8614
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.54673,419a2bbb-1d41-4786-a1dc-e23fa58ecadf,497027841,139865.784
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.40494,acc90f9d-7074-44a9-98d6-fb42dea8e083,79841626.28,87101.40997
27,E06000027,Torbay, ,289730,64613,-3.55523,50.47092,08efc7d5-b48f-4754-bf90-768228053cf6,62914310.05,72309.8627
28,E06000030,Swindon, ,418551,186564,-1.73367,51.57763,0ad70f09-c776-48a7-8dce-b8daf52b9fba,230091397.9,99592.39699
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,d786c503-348e-48c8-8069-669647f78b6e,343411218.5,111016.2422
30,E06000032,Luton, ,508606,222559,-0.42319,51.89102,4844b403-4da0-479f-a6e2-cc3cb9f2aad4,43359040.11,34269.12493
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.54917,60c43eca-10f4-423f-a890-cdc61c2509ff,41659018.1,51948.9611
32,E06000034,Thurrock, ,562123,181590,0.334861,51.50998,3c1eb1d3-5909-4a43-9863-ff6495e967a1,163771440.7,108781.7238
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,61135dad-107b-4057-bdf0-a05343fe7b60,193601538.5,224169.9297
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,dbf82389-c4dc-4c87-bcd9-d3ae15ba29da,109331486.3,61821.67308
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.44559,b6ff8a40-fce8-4bdf-8fa2-95c1500988d8,704170091.7,163471.7012
36,E06000038,Reading, ,470226,173154,-0.99071,51.45302,b2d05d05-cc80-4dc5-a866-ab21d026c433,40385975.19,38621.08747
37,E06000039,Slough, ,498920,179246,-0.57617,51.5035,305f3df2-9c5f-43d0-8148-9a7758c6faca,32541141.16,43311.37202
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,f3fc632d-0c7c-47f3-9c7b-7e4d737fd675,198418679,113808.1588
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.42296,260dac18-b377-4902-a57c-aa571c057e1c,178974764.8,85670.92528
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.07241,9a54b66f-1867-4ff0-b31a-c0cacd13f101,308649685.4,100925.6426
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079,50.8465,5d240eb6-5843-4560-a687-b5a770fd4890,82870668.76,57872.64606
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.808,266ec97c-b7f9-434b-a4c8-aacebbd4805b,40386149.99,63391.86811
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,e9543ec5-1d95-42ff-99fa-1282916ddc70,49856215.28,59311.19127
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.67129,76be3f8d-e904-4faf-9faa-71d89cc36d95,379683527.1,188643.3941
