Area Codes ,Area names ,,,Nu of households,Nu in fuel poverty,Fuel poor (%)
E92000001,ENGLAND,,,"24,070,861","3,162,752",13.1
E12000001,NORTH EAST,,,"1,202,496","168,751",14.0
E06000047,,County Durham,,"239,995","35,210",14.7
E06000005,,Darlington,,"50,028","7,255",14.5
E06000001,,Hartlepool,,"41,885","5,993",14.3
E06000002,,Middlesbrough,,"61,626","10,244",16.6
E06000057,,Northumberland,,"150,253","20,676",13.8
E06000003,,Redcar and Cleveland,,"63,059","9,300",14.7
E06000004,,Stockton-on-Tees,,"85,685","10,424",12.2
E11000007,,Tyne and Wear (Met County),,"509,965","69,649",13.7
E08000037,,,Gateshead,"91,088","12,157",13.3
E08000021,,,Newcastle upon Tyne,"125,609","19,128",15.2
E08000022,,,North Tyneside,"98,369","11,405",11.6
E08000023,,,South Tyneside,"69,876","9,690",13.9
E08000024,,,Sunderland,"125,023","17,269",13.8
E12000002,NORTH WEST ,,,"3,219,948","468,802",14.6
E06000008,,Blackburn with Darwen,,"60,004","10,978",18.3
E06000009,,Blackpool,,"66,217","13,404",20.2
E06000049,,Cheshire East,,"178,465","20,760",11.6
E06000050,,Cheshire West and Chester,,"158,412","18,705",11.8
E06000063,,Cumberland,,"128,063","18,711",14.6
E06000006,,Halton,,"57,101","7,097",12.4
E06000007,,Warrington,,"92,463","9,868",10.7
E06000064,,Westmorland and Furness,,"105,747","15,648",14.8
E11000001,,Greater Manchester (Met County),,"1,203,037","176,855",14.7
E08000001,,,Bolton,"121,321","18,718",15.4
E08000002,,,Bury,"82,389","11,013",13.4
E08000003,,,Manchester,"219,107","40,064",18.3
E08000004,,,Oldham ,"95,175","15,261",16.0
E08000005,,,Rochdale,"92,125","14,510",15.8
E08000006,,,Salford,"117,540","15,486",13.2
E08000007,,,Stockport,"129,365","15,843",12.2
E08000008,,,Tameside,"101,617","14,417",14.2
E08000009,,,Trafford,"98,321","11,621",11.8
E08000010,,,Wigan,"146,077","19,922",13.6
E10000017,,Lancashire,,"536,423","78,472",14.6
E07000117,,,Burnley,"40,699","7,972",19.6
E07000118,,,Chorley,"51,172","5,690",11.1
E07000119,,,Fylde,"38,383","4,799",12.5
E07000120,,,Hyndburn,"35,539","6,614",18.6
E07000121,,,Lancaster,"61,310","9,446",15.4
E07000122,,,Pendle,"38,885","7,704",19.8
E07000123,,,Preston,"60,897","9,345",15.3
E07000124,,,Ribble Valley,"27,312","3,648",13.4
E07000125,,,Rossendale,"31,194","4,797",15.4
E07000126,,,South Ribble,"49,653","4,969",10.0
E07000127,,,West Lancashire,"49,532","6,492",13.1
E07000128,,,Wyre,"51,847","6,996",13.5
E11000002,,Merseyside (Met County),,"634,016","98,304",15.5
E08000011,,,Knowsley ,"67,483","8,714",12.9
E08000012,,,Liverpool,"211,966","38,188",18.0
E08000014,,,Sefton,"125,649","17,456",13.9
E08000013,,,St. Helens,"82,684","11,520",13.9
E08000015,,,Wirral,"146,234","22,426",15.3
