laua21,mean_epc_change,mean_pepc_change,mean_area_change,median_epc_change,median_pepc_change,median_area_change
E06000001,2.253,0.627,1.552,2,1,-0.52
E06000002,1.508,1.484,-6.12,1,1,-2.39
E06000003,1.542,1.221,-3.936,1,1,-0.92
E06000004,3.574,1.192,-3.375,3,1,1
E06000005,0.948,0.566,-2.002,1,1,-0.97
E06000006,3.608,2.109,-4.738,3,2,-1.8
E06000007,3.298,1.146,-0.593,3,1,0
E06000008,1.884,1.226,-1.883,2,1,0
E06000009,-1.711,-0.373,-1.755,-1,-1,0.09
E06000010,1.615,0.55,-1.574,1,1,-6
E06000011,0.315,0.012,4.801,0,0,3
E06000012,0.695,0.401,-2.158,0,0,2
E06000013,1.504,1.022,4.134,2,1,4.32
E06000014,2.821,0.337,-8.19,2,0,-6
E06000015,0.336,0.063,-7.236,0,0,-4.22
E06000016,-1.057,-0.086,-7.33,-1,0,-3
E06000017,0.835,-0.03,8.706,1,0,5.66
E06000018,0.033,-0.247,-7.333,0,0,-4
E06000019,-1.289,-0.53,10.857,-1,0,3.31
E06000020,5.892,3.222,-2.415,5,3,1
E06000021,1.028,1.207,-10.585,1,1,-6
E06000022,0.654,0.066,1.818,0,0,2
E06000023,1.145,-0.388,-8.553,1,0,-4.06
E06000024,3.192,1.198,3.109,3,1,1.45
E06000025,2.568,1.797,-3.33,2,2,-1
E06000026,2.906,0.407,-3.772,2,0,-1.17
E06000027,0.249,-0.304,-4.393,0,0,-3
E06000030,4.984,2.853,-5.502,5,2,-2
E06000031,4.504,3.008,-0.552,4,3,2
E06000032,-1.336,0.716,-7.226,-2,1,-3.16
E06000033,-3.176,-2.826,-3.169,-4,-2,-2.45
E06000034,3.13,2.185,-5.937,3,2,-2.93
E06000035,1.411,1.567,-6.196,1,1,-2.46
E06000036,4.29,2.511,-1.886,4,2,0.95
E06000037,0.679,0.355,5.049,1,0,2.7
E06000038,0.508,-0.187,-9.522,0,0,-4.345
