laua21,mean_epc_change,mean_pepc_change,mean_area_change,median_epc_change,median_pepc_change,median_area_change
E06000001,1.135,0.818,-11.779,1,1,-2.89
E06000002,1.876,0.108,2.598,2,0,0
E06000003,1.388,-0.225,0.627,1,0,-1.2
E06000004,-0.636,-0.025,-1.699,0,0,-2.47
E06000005,2.181,0.749,-0.618,2,0,-0.81
E06000006,-1.032,-1.324,3.204,0,-1,0.23
E06000007,-0.662,-0.134,-2.135,0,0,-2
E06000008,0.787,-0.526,-3.048,1,0,-4
E06000009,3.61,0.783,-1.696,3,1,-2.54
E06000010,0.887,0.647,2.436,1,0,4
E06000011,2.757,1.639,-10.748,3,1,-7.688
E06000012,1.983,0.296,-0.504,2,0,-4.9
E06000013,1.297,-0.129,-7.368,1,0,-8
E06000014,-0.27,0.963,5.459,0,1,2
E06000015,2.421,1.092,3.854,3,1,1.6
E06000016,3.331,1.151,4.232,3,1,2
E06000017,1.883,1.16,-14.388,2,1,-5
E06000018,1.994,1.306,5.21,2,1,3.06
E06000019,3.719,1.596,-13.761,3,1,-6
E06000020,-2.84,-1.806,-0.222,-2,-1,-2
E06000021,1.169,-0.203,8.661,1,0,4.3
E06000022,2.878,1.616,-6.696,3,2,-4.72
E06000023,1.779,1.535,1.768,2,1,1
E06000024,0.437,-0.005,-8.635,0,0,-4.905
E06000025,0.577,-0.434,1.226,1,0,0.48
E06000026,-0.59,0.469,-1.656,0,1,-1.435
E06000027,2.535,1.327,-4.18,3,1,-3.48
E06000030,-2.291,-1.273,3.955,-2,-1,1.9
E06000031,-1.008,-1.601,-0.374,-1,-1,-1.32
E06000032,3.832,0.686,5.389,4,1,2.83
E06000033,5.043,3.273,-0.552,5,3,-0.681
E06000034,-0.2,-1.018,8.742,0,-1,5.735
E06000035,1.234,-0.463,3.559,1,0,1
E06000036,-1.328,-1.203,1.71,-1,-1,1.96
E06000037,2.186,0.39,-7.858,2,1,-2.79
E06000038,1.799,1.477,9.966,2,1,6
E06000039,-0.709,-0.827,13.166,-1,-1,11
E06000040,2.967,1.568,-12.781,3,1,-5.125
E06000041,0.408,-0.435,-12.037,1,0,-6.275
E06000042,-2.361,-1.345,2.371,-2,-1,2
E06000043,1.915,2.283,3.548,2,2,2.3
E06000044,1.598,0.777,0.521,2,1,-1.38
E06000045,1.066,1.284,4.475,1,1,3.72
E06000046,2.965,0.906,-5.204,2,1,-5
E06000047,0.4,-0.508,0.038,0,0,-3
E06000049,1.83,0.589,-12.886,2,1,-6.22
E06000050,1.18,0.158,-5.205,1,0,-3
E06000051,3.311,1.303,-10.434,3,1,-3.88
E06000052,4.886,2.042,-4.973,4,1,-4
E06000053,17.157,-2.4,-19.826,16,-3.5,-10.005
E06000054,1.495,0.333,-8.575,1,0,-5
E06000055,0.957,0.479,-4.556,1,0,-2
E06000056,0.286,-0.579,-0.935,0,0,-0.33
E06000057,2.259,0.677,-8.854,2,1,-5.3
E06000058,0.875,0.97,-1.78,1,1,-0.63
E06000059,1.551,0.626,-10.656,1,1,-6.15
E06000060,2.426,0.902,-12.265,2,1,-4.665
E06000061,0.254,-0.162,-4.661,0,0,-4.64
E06000062,1.242,0.572,-4.604,1,0,-3.1
E07000008,1.253,1.177,3.598,2,1,3.65
E07000009,2.01,0.335,-6.219,2,0,-4
E07000010,1.932,0.285,-8.185,2,0,-4.66
E07000011,1.07,0.003,-4.581,1,0,-3
E07000012,0.928,-0.367,-8.984,1,0,-4
E07000026,4.205,1.502,-9.241,4,1,-7
E07000027,1.946,1.46,4.866,2,2,1.16
E07000028,1.17,1.198,-1.496,1,1,0
E07000029,3.741,1.223,-8.302,4,1,-5
E07000030,7.606,3.092,-21.473,6,2,-11.97
E07000031,4.279,2.137,-10.173,4,2,-4
E07000032,2.686,0.974,-4.462,3,1,-3
E07000033,1.752,0.23,1.005,2,0,-1.18
E07000034,0.037,-0.168,5.182,1,0,2.27
E07000035,4.825,1.362,-14.068,4,1,-9.865
E07000036,2.434,0.557,1.566,2,0,-0.07
E07000037,1.564,0.75,-5.583,2,1,-4
E07000038,1.558,0.051,-3.646,2,0,-2.99
E07000039,-0.394,-0.183,-5.114,0,0,-3
E07000040,2.675,1.073,-10.152,3,1,-6
E07000041,0.123,0.72,4.797,1,1,3.171
E07000042,2.512,1.244,-11.426,2,1,-4.69
E07000043,3.322,1.323,-9.681,2,1,-4.65
E07000044,2.714,0.697,-7.078,2.5,1,-3.51
E07000045,2.278,0.997,-10.848,2,1,-5.6
E07000046,2.902,0.555,-9.67,2,0,-7
E07000047,4.792,1.795,-19.866,4,1,-9.25
E07000061,-0.051,0.097,-1.284,0,0,-2
E07000062,1.357,0.501,-2.424,2,0,-3
E07000063,2.294,0.256,-5.297,2,0,-4.66
E07000064,4.155,1.856,-14.943,4,2,-9
E07000065,2.804,0.746,-16.491,3,1,-9
E07000066,-0.657,-1.284,2.06,0,-1,-0.385
E07000067,1.109,-0.164,-4.884,1,0,-2.28
E07000068,2.325,1.145,-7.058,3,1,-3
E07000069,4.154,-0.086,-6.262,5,0,-7.815
E07000070,1.075,0.235,1.554,1,0,2.12
E07000071,-0.511,-0.16,0.054,-1,0,1
E07000072,2.758,0.82,-11.691,3,1,-4.27
E07000073,-1.378,-1.671,9.677,-1,-1,4.175
E07000074,4.691,1.761,-18.354,5,1,-11.795
E07000075,2.037,-0.188,-7.713,2,0,-7.82
E07000076,4.502,1.505,-6.144,4,1,-5
E07000077,2.296,1.246,-18.549,2,1,-8.41
E07000078,1.649,2.014,0.849,2,2,1
E07000079,3.98,2.073,-12.578,3,2,-5
E07000080,4.433,1.108,-12.814,4,0,-7
E07000081,0.05,-0.087,4.188,1,0,3
E07000082,2.582,1.211,-10.422,2,1,-4.69
E07000083,-0.617,-0.621,-1.447,-1,0,-1
E07000084,-1.31,-1.05,-2.581,-1,-1,-1
E07000085,0.719,-0.009,-13.017,1,0,-7.9
E07000086,-1.203,-1.135,2.974,-1,-1,2
E07000087,0.208,-0.549,-3.071,1,0,-3
E07000088,-0.255,-0.213,3.169,0,0,0.84
E07000089,0.205,-0.348,-8.996,0,0,-6
E07000090,0.766,-0.049,-1.741,1,0,-3.235
E07000091,1.827,-0.017,-8.038,2,0,-4.918
E07000092,0.268,-0.519,6.561,0,0,3.91
E07000093,0.403,-0.436,-10.167,0,0,-5.115
E07000094,0.675,0.669,-12.482,0,1,-5.94
E07000095,0.548,-0.412,3.107,1,0,2
E07000096,1.369,0.881,0.676,2,1,1.06
E07000098,1.22,-0.518,-4.11,1,0,0.04
E07000099,1.363,0.302,1.957,1,0,3.37
E07000102,1.929,0.332,-10.161,2,0,-3
E07000103,1.477,0.871,7.205,2,1,7.05
E07000105,-1.016,-0.979,-6.042,-1,-1,-3
E07000106,1.113,0.3,-3.965,1,0,-3.12
E07000107,-1.037,-1.259,6.312,-1,-1,4.8
E07000108,2.267,0.02,-5.481,2,0,-3.3
E07000109,2.894,0.421,-0.069,3,0,-1
E07000110,0.287,0.012,-1.932,0,0,-0.5
E07000111,3.317,1.085,-14.661,3,1,-6
E07000112,2.09,1.086,-8.995,2,1,-6
E07000113,0.729,-0.873,-1.956,1,-1,-3
E07000114,2.235,1.143,-7.64,2,1,-5.65
E07000115,0.51,-0.196,-6.797,1,0,-5
E07000116,3.295,1.643,-8.113,3,1,-1
E07000117,3.461,0.249,1.703,3,0,1
E07000118,-0.533,-0.809,1.889,0,-1,-3
E07000119,2.608,1.789,-14.213,3,2,-8
E07000120,3.373,0.536,-0.302,4,0,-4.02
